movie,similar_movie
Persuasion ,Girl on the Bridge
"City of Lost Children, The (Cité des enfants perdus, La) ",Interstate 60 
"City of Lost Children, The (Cité des enfants perdus, La) ",K-PAX 
"City of Lost Children, The (Cité des enfants perdus, La) ",Naked Lunch 
"City of Lost Children, The (Cité des enfants perdus, La) ",Doctor Who: Last Christmas 
Shanghai Triad (Yao a yao yao dao waipo qiao) ,Irrational Man 
Shanghai Triad (Yao a yao yao dao waipo qiao) ,Mean Streets 
Shanghai Triad (Yao a yao yao dao waipo qiao) ,Pride and Glory 
Shanghai Triad (Yao a yao yao dao waipo qiao) ,Felon 
Shanghai Triad (Yao a yao yao dao waipo qiao) ,Godfather
Dangerous Minds ,French Lieutenant's Woman
Dangerous Minds ,Camera Buff (Amator) 
Dangerous Minds ,Children Are Watching Us
Dangerous Minds ,Return of Martin Guerre
Dangerous Minds ,Honey (Miele) 
Twelve Monkeys (a.k.a. 12 Monkeys) ,District 9 
Twelve Monkeys (a.k.a. 12 Monkeys) ,Unforgettable 
Twelve Monkeys (a.k.a. 12 Monkeys) ,Narcopolis 
Twelve Monkeys (a.k.a. 12 Monkeys) ,Seconds 
Babe ,My Dog Skip 
Babe ,Secret Garden
Babe ,I Remember Mama 
Babe ,Dreamer: Inspired by a True Story 
Babe ,National Velvet 
Dead Man Walking ,Irrational Man 
Dead Man Walking ,Mean Streets 
Dead Man Walking ,Pride and Glory 
Dead Man Walking ,Felon 
Dead Man Walking ,Godfather
It Takes Two ,Bad News Bears 
It Takes Two ,Love Bug
It Takes Two ,Mouse Hunt 
It Takes Two ,Home Alone 3 
It Takes Two ,Air Bud 
Clueless ,I'll Be Home For Christmas 
Clueless ,Guru
Clueless ,Hard Promises 
Clueless ,40 Days and 40 Nights 
Clueless ,10 
"Cry, the Beloved Country ",French Lieutenant's Woman
"Cry, the Beloved Country ",Camera Buff (Amator) 
"Cry, the Beloved Country ",Children Are Watching Us
"Cry, the Beloved Country ",Return of Martin Guerre
"Cry, the Beloved Country ",Honey (Miele) 
Richard III ,Human Condition I
Richard III ,Boy in the Striped Pajamas
Richard III ,Ashes and Diamonds (Popiól i diament) 
Richard III ,Turtles Can Fly (Lakposhtha hâm parvaz mikonand) 
Richard III ,Gardens of Stone 
Dead Presidents ,Blue Thunder 
Dead Presidents ,Rise of the Footsoldier 
Dead Presidents ,Gangster Squad 
Dead Presidents ,Sisters (Syostry) 
Restoration ,French Lieutenant's Woman
Restoration ,Camera Buff (Amator) 
Restoration ,Children Are Watching Us
Restoration ,Return of Martin Guerre
Restoration ,Honey (Miele) 
Mortal Kombat ,Street Fighter 
Mortal Kombat ,Librarian
Mortal Kombat ,Librarian: Return to King Solomon's Mines
Mortal Kombat ,13th Warrior
Mortal Kombat ,Red Sonja 
To Die For ,Cherish 
To Die For ,Rum Diary
To Die For ,Shallow Grave 
To Die For ,Matador
To Die For ,The Dressmaker 
How to Make an American Quilt ,Crazy/Beautiful 
How to Make an American Quilt ,Memoirs of a Geisha 
How to Make an American Quilt ,To Gillian on Her 37th Birthday 
How to Make an American Quilt ,Beautiful Thing 
How to Make an American Quilt ,Girl on the Bridge
Seven (a.k.a. Se7en) ,Rear Window 
Seven (a.k.a. Se7en) ,Obsession 
Seven (a.k.a. Se7en) ,The Wailing 
Seven (a.k.a. Se7en) ,Enemy 
Seven (a.k.a. Se7en) ,Memento 
Pocahontas ,Hunchback of Notre Dame
Pocahontas ,Little Mermaid
Pocahontas ,Dumbo 
Pocahontas ,Mulan 
When Night Is Falling ,Crazy/Beautiful 
When Night Is Falling ,Memoirs of a Geisha 
When Night Is Falling ,To Gillian on Her 37th Birthday 
When Night Is Falling ,Beautiful Thing 
When Night Is Falling ,Girl on the Bridge
"Usual Suspects, The ",Red Dragon 
"Usual Suspects, The ",The Nice Guys 
"Usual Suspects, The ",Murder on the Orient Express 
"Usual Suspects, The ",Sherlock Holmes and the Secret Weapon 
"Usual Suspects, The ",Switchback 
Mighty Aphrodite ,Jalla! Jalla! 
Mighty Aphrodite ,Terminal
Mighty Aphrodite ,10 Items or Less 
Mighty Aphrodite ,For Roseanna (Roseanna's Grave) 
Mighty Aphrodite ,Cooler
Lamerica ,Snow Walker
Lamerica ,Fitzcarraldo 
Lamerica ,White Hunter
Lamerica ,Walkabout 
Lamerica ,Bounty
"Big Green, The ",Bad News Bears 
"Big Green, The ",Love Bug
"Big Green, The ",Mouse Hunt 
"Big Green, The ",Home Alone 3 
"Big Green, The ",Air Bud 
Georgia ,French Lieutenant's Woman
Georgia ,Camera Buff (Amator) 
Georgia ,Children Are Watching Us
Georgia ,Return of Martin Guerre
Georgia ,Honey (Miele) 
Home for the Holidays ,French Lieutenant's Woman
Home for the Holidays ,Camera Buff (Amator) 
Home for the Holidays ,Children Are Watching Us
Home for the Holidays ,Return of Martin Guerre
Home for the Holidays ,Honey (Miele) 
"Postman, The (Postino, Il) ",Jalla! Jalla! 
"Postman, The (Postino, Il) ",Terminal
"Postman, The (Postino, Il) ",10 Items or Less 
"Postman, The (Postino, Il) ",For Roseanna (Roseanna's Grave) 
"Postman, The (Postino, Il) ",Cooler
"Indian in the Cupboard, The ",Escape to Witch Mountain 
"Indian in the Cupboard, The ",Chronicles of Narnia: The Lion
"Indian in the Cupboard, The ",Chronicles of Narnia: Prince Caspian
"Indian in the Cupboard, The ",Alice Through the Looking Glass 
"Indian in the Cupboard, The ",Darby O'Gill and the Little People 
Eye for an Eye ,The Perfect Guy 
Eye for an Eye ,Niagara 
Eye for an Eye ,First Snow 
Eye for an Eye ,Firm
Eye for an Eye ,Bad Education (La mala educación) 
Mr. Holland's Opus ,French Lieutenant's Woman
Mr. Holland's Opus ,Camera Buff (Amator) 
Mr. Holland's Opus ,Children Are Watching Us
Mr. Holland's Opus ,Return of Martin Guerre
Mr. Holland's Opus ,Honey (Miele) 
Don't Be a Menace to South Central While Drinking Your Juice in the Hood ,Ordinary Decent Criminal 
Don't Be a Menace to South Central While Drinking Your Juice in the Hood ,Bad Santa 
Don't Be a Menace to South Central While Drinking Your Juice in the Hood ,Jane Austen's Mafia! 
Don't Be a Menace to South Central While Drinking Your Juice in the Hood ,Horrible Bosses 
Don't Be a Menace to South Central While Drinking Your Juice in the Hood ,Delhi Belly 
Two if by Sea ,I'll Be Home For Christmas 
Two if by Sea ,Guru
Two if by Sea ,Hard Promises 
Two if by Sea ,40 Days and 40 Nights 
Two if by Sea ,10 
Bio-Dome ,Andrew Dice Clay: Dice Rules 
Bio-Dome ,Night Shift 
Bio-Dome ,Joe Dirt 2: Beautiful Loser 
Bio-Dome ,I'm Starting From Three (Ricomincio da Tre) 
Bio-Dome ,My Boyfriend's Back 
Lawnmower Man 2: Beyond Cyberspace ,Island
Lawnmower Man 2: Beyond Cyberspace ,Hangar 18 
Lawnmower Man 2: Beyond Cyberspace ,Gamer 
Lawnmower Man 2: Beyond Cyberspace ,X-Men Origins: Wolverine 
Lawnmower Man 2: Beyond Cyberspace ,Total Recall 
French Twist (Gazon maudit) ,I'll Be Home For Christmas 
French Twist (Gazon maudit) ,Guru
French Twist (Gazon maudit) ,Hard Promises 
French Twist (Gazon maudit) ,40 Days and 40 Nights 
French Twist (Gazon maudit) ,10 
Friday ,Andrew Dice Clay: Dice Rules 
Friday ,Night Shift 
Friday ,Joe Dirt 2: Beautiful Loser 
Friday ,I'm Starting From Three (Ricomincio da Tre) 
Friday ,My Boyfriend's Back 
From Dusk Till Dawn ,Feast 
From Dusk Till Dawn ,Snakes on a Plane 
From Dusk Till Dawn ,Pusher III: I'm the Angel of Death 
From Dusk Till Dawn ,Black Christmas 
Fair Game ,Tournament
Fair Game ,Best of the Best 3: No Turning Back 
Fair Game ,Ip Man 2 
Fair Game ,Hunted
Fair Game ,Lionheart 
Kicking and Screaming ,My Father the Hero (Mon père
Kicking and Screaming ,Miracle on 34th Street 
Kicking and Screaming ,Mrs. Doubtfire 
Kicking and Screaming ,Liberal Arts 
Kicking and Screaming ,Mental 
"Misérables, Les ",Human Condition I
"Misérables, Les ",Boy in the Striped Pajamas
"Misérables, Les ",Ashes and Diamonds (Popiól i diament) 
"Misérables, Les ",Turtles Can Fly (Lakposhtha hâm parvaz mikonand) 
"Misérables, Les ",Gardens of Stone 
Bed of Roses ,Crazy/Beautiful 
Bed of Roses ,Memoirs of a Geisha 
Bed of Roses ,To Gillian on Her 37th Birthday 
Bed of Roses ,Beautiful Thing 
Bed of Roses ,Girl on the Bridge
Big Bully ,My Father the Hero (Mon père
Big Bully ,Miracle on 34th Street 
Big Bully ,Mrs. Doubtfire 
Big Bully ,Liberal Arts 
Big Bully ,Mental 
Screamers ,Island
Screamers ,Hangar 18 
Screamers ,Gamer 
Screamers ,X-Men Origins: Wolverine 
Screamers ,Total Recall 
Nico Icon ,Dancemaker 
Nico Icon ,Regret to Inform 
Nico Icon ,Little Dieter Needs to Fly 
Nico Icon ,First Position 
Nico Icon ,Amanda Knox 
"Crossing Guard, The ",Assault on Precinct 13 
"Crossing Guard, The ",Ninja 
"Crossing Guard, The ",Léon: The Professional (a.k.a. The Professional) (Léon) 
"Crossing Guard, The ",Point Blank 
"Crossing Guard, The ",Dark Blue 
"Juror, The ",The Perfect Guy 
"Juror, The ",Niagara 
"Juror, The ",First Snow 
"Juror, The ",Firm
"Juror, The ",Bad Education (La mala educación) 
"White Balloon, The (Badkonake sefid) ",My Dog Skip 
"White Balloon, The (Badkonake sefid) ",Secret Garden
"White Balloon, The (Badkonake sefid) ",I Remember Mama 
"White Balloon, The (Badkonake sefid) ",Dreamer: Inspired by a True Story 
"White Balloon, The (Badkonake sefid) ",National Velvet 
Things to Do in Denver When You're Dead ,Normal Life 
Things to Do in Denver When You're Dead ,Night Porter
Things to Do in Denver When You're Dead ,Atlantic City 
Things to Do in Denver When You're Dead ,Hamlet 
Antonia's Line (Antonia) ,My Father the Hero (Mon père
Antonia's Line (Antonia) ,Miracle on 34th Street 
Antonia's Line (Antonia) ,Mrs. Doubtfire 
Antonia's Line (Antonia) ,Liberal Arts 
Antonia's Line (Antonia) ,Mental 
Once Upon a Time... When We Were Colored ,Crazy/Beautiful 
Once Upon a Time... When We Were Colored ,Memoirs of a Geisha 
Once Upon a Time... When We Were Colored ,To Gillian on Her 37th Birthday 
Once Upon a Time... When We Were Colored ,Beautiful Thing 
Once Upon a Time... When We Were Colored ,Girl on the Bridge
Angels and Insects ,Crazy/Beautiful 
Angels and Insects ,Memoirs of a Geisha 
Angels and Insects ,To Gillian on Her 37th Birthday 
Angels and Insects ,Beautiful Thing 
Angels and Insects ,Girl on the Bridge
White Squall ,Into the Wild 
White Squall ,Sanjuro (Tsubaki Sanjûrô) 
White Squall ,Sword of Vengeance 
White Squall ,Ben-Hur 
Dunston Checks In ,Bad News Bears 
Dunston Checks In ,Love Bug
Dunston Checks In ,Mouse Hunt 
Dunston Checks In ,Home Alone 3 
Dunston Checks In ,Air Bud 
Black Sheep ,Andrew Dice Clay: Dice Rules 
Black Sheep ,Night Shift 
Black Sheep ,Joe Dirt 2: Beautiful Loser 
Black Sheep ,I'm Starting From Three (Ricomincio da Tre) 
Black Sheep ,My Boyfriend's Back 
Nick of Time ,River Wild
Nick of Time ,Collateral Damage 
Nick of Time ,Driven 
Nick of Time ,In the Line of Fire 
Mary Reilly ,Cage Dive 
Mary Reilly ,Thesis (Tesis) 
Mary Reilly ,Messengers
Mary Reilly ,Bug 
Mary Reilly ,Rosemary's Baby 
Vampire in Brooklyn ,Life After Beth 
Vampire in Brooklyn ,Frankenstein 90 
Vampire in Brooklyn ,Warm Bodies 
Vampire in Brooklyn ,Love at First Bite 
Beautiful Girls ,Jalla! Jalla! 
Beautiful Girls ,Terminal
Beautiful Girls ,10 Items or Less 
Beautiful Girls ,For Roseanna (Roseanna's Grave) 
Beautiful Girls ,Cooler
Broken Arrow ,Quantum of Solace 
Broken Arrow ,Goldfinger 
Broken Arrow ,View to a Kill
Broken Arrow ,Surviving the Game 
Broken Arrow ,Rock
In the Bleak Midwinter ,My Father the Hero (Mon père
In the Bleak Midwinter ,Miracle on 34th Street 
In the Bleak Midwinter ,Mrs. Doubtfire 
In the Bleak Midwinter ,Liberal Arts 
In the Bleak Midwinter ,Mental 
"Hate (Haine, La) ",Irrational Man 
"Hate (Haine, La) ",Mean Streets 
"Hate (Haine, La) ",Pride and Glory 
"Hate (Haine, La) ",Felon 
"Hate (Haine, La) ",Godfather
Heidi Fleiss: Hollywood Madam ,Dancemaker 
Heidi Fleiss: Hollywood Madam ,Regret to Inform 
Heidi Fleiss: Hollywood Madam ,Little Dieter Needs to Fly 
Heidi Fleiss: Hollywood Madam ,First Position 
Heidi Fleiss: Hollywood Madam ,Amanda Knox 
City Hall ,The Perfect Guy 
City Hall ,Niagara 
City Hall ,First Snow 
City Hall ,Firm
City Hall ,Bad Education (La mala educación) 
Bottle Rocket ,Brothers Bloom
Bottle Rocket ,Beat the Devil 
Bottle Rocket ,Shanghai Surprise 
Bottle Rocket ,Muppets Most Wanted 
Mr. Wrong ,Andrew Dice Clay: Dice Rules 
Mr. Wrong ,Night Shift 
Mr. Wrong ,Joe Dirt 2: Beautiful Loser 
Mr. Wrong ,I'm Starting From Three (Ricomincio da Tre) 
Mr. Wrong ,My Boyfriend's Back 
Unforgettable ,District 9 
Unforgettable ,Twelve Monkeys (a.k.a. 12 Monkeys) 
Unforgettable ,Narcopolis 
Unforgettable ,Seconds 
Happy Gilmore ,Andrew Dice Clay: Dice Rules 
Happy Gilmore ,Night Shift 
Happy Gilmore ,Joe Dirt 2: Beautiful Loser 
Happy Gilmore ,I'm Starting From Three (Ricomincio da Tre) 
Happy Gilmore ,My Boyfriend's Back 
"Bridges of Madison County, The ",Crazy/Beautiful 
"Bridges of Madison County, The ",Memoirs of a Geisha 
"Bridges of Madison County, The ",To Gillian on Her 37th Birthday 
"Bridges of Madison County, The ",Beautiful Thing 
"Bridges of Madison County, The ",Girl on the Bridge
Nobody Loves Me (Keiner liebt mich) ,My Father the Hero (Mon père
Nobody Loves Me (Keiner liebt mich) ,Miracle on 34th Street 
Nobody Loves Me (Keiner liebt mich) ,Mrs. Doubtfire 
Nobody Loves Me (Keiner liebt mich) ,Liberal Arts 
Nobody Loves Me (Keiner liebt mich) ,Mental 
Muppet Treasure Island ,Muppet Movie
Muppet Treasure Island ,Bedknobs and Broomsticks 
Muppet Treasure Island ,Doctor Dolittle 
Muppet Treasure Island ,Muppets Take Manhattan
Catwalk ,Dancemaker 
Catwalk ,Regret to Inform 
Catwalk ,Little Dieter Needs to Fly 
Catwalk ,First Position 
Catwalk ,Amanda Knox 
Braveheart ,Behind Enemy Lines 
Braveheart ,The Great Raid 
Braveheart ,Monuments Men
Braveheart ,Thin Red Line
Braveheart ,Fury 
Taxi Driver ,Boiler Room 
Taxi Driver ,Citizen X 
Taxi Driver ,Cleanskin 
Taxi Driver ,Perfect World
Taxi Driver ,Anything for Her (Pour elle) 
Rumble in the Bronx (Hont faan kui) ,Batman Forever 
Rumble in the Bronx (Hont faan kui) ,Nothing to Lose 
Rumble in the Bronx (Hont faan kui) ,I Spy 
Rumble in the Bronx (Hont faan kui) ,Crime Busters 
Before and After ,Klute 
Before and After ,Smiley's People 
Before and After ,Buster's Mal Heart 
Before and After ,Anatomy of a Murder 
Before and After ,Birth 
Anne Frank Remembered ,Dancemaker 
Anne Frank Remembered ,Regret to Inform 
Anne Frank Remembered ,Little Dieter Needs to Fly 
Anne Frank Remembered ,First Position 
Anne Frank Remembered ,Amanda Knox 
"Young Poisoner's Handbook, The ",Irrational Man 
"Young Poisoner's Handbook, The ",Mean Streets 
"Young Poisoner's Handbook, The ",Pride and Glory 
"Young Poisoner's Handbook, The ",Felon 
"Young Poisoner's Handbook, The ",Godfather
If Lucy Fell ,I'll Be Home For Christmas 
If Lucy Fell ,Guru
If Lucy Fell ,Hard Promises 
If Lucy Fell ,40 Days and 40 Nights 
If Lucy Fell ,10 
"Steal Big, Steal Little ",Andrew Dice Clay: Dice Rules 
"Steal Big, Steal Little ",Night Shift 
"Steal Big, Steal Little ",Joe Dirt 2: Beautiful Loser 
"Steal Big, Steal Little ",I'm Starting From Three (Ricomincio da Tre) 
"Steal Big, Steal Little ",My Boyfriend's Back 
"Boys of St. Vincent, The ",French Lieutenant's Woman
"Boys of St. Vincent, The ",Camera Buff (Amator) 
"Boys of St. Vincent, The ",Children Are Watching Us
"Boys of St. Vincent, The ",Return of Martin Guerre
"Boys of St. Vincent, The ",Honey (Miele) 
Boomerang ,I'll Be Home For Christmas 
Boomerang ,Guru
Boomerang ,Hard Promises 
Boomerang ,40 Days and 40 Nights 
Boomerang ,10 
Chungking Express (Chung Hing sam lam) ,Flesh and Bone 
Chungking Express (Chung Hing sam lam) ,Million Dollar Hotel
Chungking Express (Chung Hing sam lam) ,Safe Haven 
Chungking Express (Chung Hing sam lam) ,Mulholland Dr. 
Chungking Express (Chung Hing sam lam) ,Apartment
Flirting With Disaster ,Andrew Dice Clay: Dice Rules 
Flirting With Disaster ,Night Shift 
Flirting With Disaster ,Joe Dirt 2: Beautiful Loser 
Flirting With Disaster ,I'm Starting From Three (Ricomincio da Tre) 
Flirting With Disaster ,My Boyfriend's Back 
"NeverEnding Story III, The ",Escape to Witch Mountain 
"NeverEnding Story III, The ",Chronicles of Narnia: The Lion
"NeverEnding Story III, The ",Chronicles of Narnia: Prince Caspian
"NeverEnding Story III, The ",Alice Through the Looking Glass 
"NeverEnding Story III, The ",Darby O'Gill and the Little People 
Jupiter's Wife ,Dancemaker 
Jupiter's Wife ,Regret to Inform 
Jupiter's Wife ,Little Dieter Needs to Fly 
Jupiter's Wife ,First Position 
Jupiter's Wife ,Amanda Knox 
Pie in the Sky ,I'll Be Home For Christmas 
Pie in the Sky ,Guru
Pie in the Sky ,Hard Promises 
Pie in the Sky ,40 Days and 40 Nights 
Pie in the Sky ,10 
Jade ,Return to Sender 
Jade ,Torn Curtain 
Jade ,Cop 
Jade ,Hideaway 
Jade ,Swimfan 
Down Periscope ,Andrew Dice Clay: Dice Rules 
Down Periscope ,Night Shift 
Down Periscope ,Joe Dirt 2: Beautiful Loser 
Down Periscope ,I'm Starting From Three (Ricomincio da Tre) 
Down Periscope ,My Boyfriend's Back 
Man of the Year ,Dancemaker 
Man of the Year ,Regret to Inform 
Man of the Year ,Little Dieter Needs to Fly 
Man of the Year ,First Position 
Man of the Year ,Amanda Knox 
Up Close and Personal ,Crazy/Beautiful 
Up Close and Personal ,Memoirs of a Geisha 
Up Close and Personal ,To Gillian on Her 37th Birthday 
Up Close and Personal ,Beautiful Thing 
Up Close and Personal ,Girl on the Bridge
"Birdcage, The ",Andrew Dice Clay: Dice Rules 
"Birdcage, The ",Night Shift 
"Birdcage, The ",Joe Dirt 2: Beautiful Loser 
"Birdcage, The ",I'm Starting From Three (Ricomincio da Tre) 
"Birdcage, The ",My Boyfriend's Back 
"Brothers McMullen, The ",Andrew Dice Clay: Dice Rules 
"Brothers McMullen, The ",Night Shift 
"Brothers McMullen, The ",Joe Dirt 2: Beautiful Loser 
"Brothers McMullen, The ",I'm Starting From Three (Ricomincio da Tre) 
"Brothers McMullen, The ",My Boyfriend's Back 
Bad Boys ,Money Train 
Bad Boys ,Wasabi 
Bad Boys ,Metro 
Bad Boys ,Last Boy Scout
"Amazing Panda Adventure, The ",Little Vampire
"Amazing Panda Adventure, The ",Spy Kids 2: The Island of Lost Dreams 
"Amazing Panda Adventure, The ",Benji 
"Amazing Panda Adventure, The ",In Search of the Castaways 
"Basketball Diaries, The ",French Lieutenant's Woman
"Basketball Diaries, The ",Camera Buff (Amator) 
"Basketball Diaries, The ",Children Are Watching Us
"Basketball Diaries, The ",Return of Martin Guerre
"Basketball Diaries, The ",Honey (Miele) 
"Awfully Big Adventure, An ",French Lieutenant's Woman
"Awfully Big Adventure, An ",Camera Buff (Amator) 
"Awfully Big Adventure, An ",Children Are Watching Us
"Awfully Big Adventure, An ",Return of Martin Guerre
"Awfully Big Adventure, An ",Honey (Miele) 
Amateur ,Boiler Room 
Amateur ,Citizen X 
Amateur ,Cleanskin 
Amateur ,Perfect World
Amateur ,Anything for Her (Pour elle) 
Apollo 13 ,Life of Pi 
Apollo 13 ,Noah 
Apollo 13 ,Captain Phillips 
Apollo 13 ,Harry Potter and the Order of the Phoenix 
Rob Roy ,Pearl Harbor 
Rob Roy ,Flying Tigers 
Rob Roy ,Spartacus 
Rob Roy ,Kingdom of Heaven 
Rob Roy ,Henry V 
"Addiction, The ",Baxter 
"Addiction, The ",Martin 
"Addiction, The ",Ghost Story 
"Addiction, The ",Confessions (Kokuhaku) 
"Addiction, The ",Amer 
Batman Forever ,Nothing to Lose 
Batman Forever ,I Spy 
Batman Forever ,Crime Busters 
Batman Forever ,Rumble in the Bronx (Hont faan kui) 
Beauty of the Day (Belle de jour) ,French Lieutenant's Woman
Beauty of the Day (Belle de jour) ,Camera Buff (Amator) 
Beauty of the Day (Belle de jour) ,Children Are Watching Us
Beauty of the Day (Belle de jour) ,Return of Martin Guerre
Beauty of the Day (Belle de jour) ,Honey (Miele) 
Beyond Rangoon ,Bridge on the River Kwai
Beyond Rangoon ,Seven Years in Tibet 
Beyond Rangoon ,Lawrence of Arabia 
Beyond Rangoon ,Revolution 
Beyond Rangoon ,War
Blue in the Face ,My Father the Hero (Mon père
Blue in the Face ,Miracle on 34th Street 
Blue in the Face ,Mrs. Doubtfire 
Blue in the Face ,Liberal Arts 
Blue in the Face ,Mental 
Canadian Bacon ,Whiskey Tango Foxtrot 
Canadian Bacon ,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb 
Canadian Bacon ,Russians Are Coming
Canadian Bacon ,1941 
Canadian Bacon ,Bananas 
Casper ,Little Vampire
Casper ,Spy Kids 2: The Island of Lost Dreams 
Casper ,Benji 
Casper ,Amazing Panda Adventure
Casper ,In Search of the Castaways 
Clockers ,Murder on the Orient Express 
Clockers ,Mystic River 
Clockers ,Rashomon (Rashômon) 
Clockers ,Brigham City 
Clockers ,Sicario 
Congo ,Star Trek VI: The Undiscovered Country 
Congo ,Maze Runner
Congo ,Tomorrowland 
Congo ,Annihilation 
Crimson Tide ,Brothers 
Crimson Tide ,Eye in the Sky 
Crimson Tide ,Quiet American
Crimson Tide ,Black Book (Zwartboek) 
Crimson Tide ,Salvador 
Crumb ,Dancemaker 
Crumb ,Regret to Inform 
Crumb ,Little Dieter Needs to Fly 
Crumb ,First Position 
Crumb ,Amanda Knox 
Desperado ,Stagecoach 
Desperado ,Claim
Desperado ,Big Country
Desperado ,Rio Grande 
Devil in a Blue Dress ,L.A. Confidential 
